No,Branch Code,Branch Store Name,Province (English),Province (Khmer),District (English),District (Khmer),Commune (English),Commune (Khmer),NCDD Commune Code,Latitude,Longitude,English Keywords Count,English Search Keywords (Pipe Separated),Khmer Keywords Count,Khmer Search Keywords (Pipe Separated)
68,"BATS002","Ta Pung","Battambang","Battambang","Thma Koul","ថ្មគោល","Ta Pung","តាពូង","020201","13.269928","103.089933",4,"BATS002 | Ta Pung | Thma Koul | 020201",8,"ថ្មគោល | តាពូង | ផ្សារថ្មគោល | ផ្សារកុក ខមុម | ផ្សារបឹង ព្រីង | ផ្សារទួល តាដូក | ផ្សារជ្រោយ សតី | ផ្សារផុម ថមី"
69,"BATS003","Boeng Reang","Battambang","Battambang","Kamrieng","កំរៀង","Boeng Reang","បឹងរាំង","021202","13.088761","102.445678",4,"BATS003 | Boeng Reang | Kamrieng | 021202",4,"កំរៀង | បឹងរាំង | ផ្សារក្រដ | ផ្សារត្រាវី"
70,"BATS004","Santepheap","Battambang","Battambang","Sampov Lun","សំពៅលូន","Santepheap","សន្ដិភាព","021004","13.431886","102.376649",4,"BATS004 | Santepheap | Sampov Lun | 021004",6,"សំពៅលូន | សន្ដិភាព | ផ្សារបឹង បឹង | ផ្សារបុរី សូផោកមង្គល | ផ្សារតាឡន | ផ្សារបី សែ"
71,"BATS005","Sdau","Battambang","Battambang","Rotonak Mondol","រតនមណ្ឌល","Sdau","ស្ដៅ","020701","12.892662","102.97397",4,"BATS005 | Sdau | Rotonak Mondol | 020701",7,"រតនមណ្ឌល | ស្ដៅ | ផ្សារត្រេង | ផ្សារស្តៅ | ផ្សារសនូេង | ផ្សាររោកសមីសាងហា | ផ្សារត្រែង (ផ្សារភ្ជាវ)"
72,"BATS006","Bavel","Battambang","Battambang","Bavel","បវេល","Bavel","បវេល","020401","13.25407","102.873046",4,"BATS006 | Bavel | 020401 | borey yin mann",6,"បវេល | ផ្សារបវេល | ផ្សារខ្នាច រមាស | ផ្សារល្វា | ផ្សារាមពីលព្រាមដែុម | ផ្សារបុរី យីន មានន"
73,"BATS007","Moung","Battambang","Battambang","Moung Ruessei","មោងឫស្សី","Moung","មោង","020601","12.775514","103.447784",4,"BATS007 | Moung | Moung Ruessei | 020601",7,"មោងឫស្សី | មោង | ផ្សារព្រៃស្វាយ | ផ្សារកាកូាសហ | ផ្សារជ្រៃ | ផ្សារតាលៅស | ផ្សារមអូង ឫស្សី មាតកេត"
74,"BATS008","Sdau","Battambang","Battambang","Rotonak Mondol","រតនមណ្ឌល","Sdau","ស្ដៅ","020701","12.5333","102.5826",4,"BATS008 | Sdau | Rotonak Mondol | 020701",2,"រតនមណ្ឌល | ស្ដៅ"
75,"DVCZ2","Vehicle Team Z2","Battambang","Battambang","Banan","បាណន់","Chheu Teal","ឈើទាល","020104","","",4,"DVCZ2 | Vehicle Team Z2 | Banan | 020104",2,"បាណន់ | ឈើទាល"
76,"HUBBAT01","Hub vùng HUBBAT01","","battambang","Hub vùng HUBBAT01","hub vùng hubbat01","","hub vùng hubbat01","","13.338261812530442","103.08321449677263",2,"HUBBAT01 | Hub vùng HUBBAT01",7,"ផ្សារថ្មគោល | ផ្សារកុក ខមុម | ផ្សារ ថ្មី ភ្នំ តូច | ផ្សារបឹង ព្រីង | ផ្សារចាស់ ភ្នំ តូច | ផ្សារជ្រោយ សតី | ផ្សារផុម ថមី"
77,"HZ3P01","Head Office Z3","","battambang","Head Office Z3","head office z3","","head office z3","","","",2,"HZ3P01 | Head Office Z3",0,""
78,"KVBAT01","Kho vùng BAT","Battambang","Battambang","Koas Krala","គាស់ក្រឡ","Doun Ba","ដូនបា","021305","","",4,"KVBAT01 | Kho vùng BAT | Koas Krala | 021305",2,"គាស់ក្រឡ | ដូនបា"
79,"CHAA001","Peam Prathnuoh","Kampong Cham","កំពង់ចាម","Kaoh Soutin","កោះសូទិន","Peam Prathnuoh","ពាមប្រធ្នោះ","030806","11.892662","105.428499",5,"CHAA001 | Peam Prathnuoh | Kaoh Soutin | 030806 | night market",8,"កំពង់ចាម | កោះសូទិន | ពាមប្រធ្នោះ | ផ្សារ7មករា | ផ្សារចី ហេរ | ផ្សារព្រេកសានដោក | ផ្សារធំកំពង់ចាម | ផ្សារ ព្រោកដោមចាន"
80,"CHAA002","Chrey Vien","Kampong Cham","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","Chrey Vien","ជ្រៃវៀន","031303","12.058398","105.257688",4,"CHAA002 | Chrey Vien | Prey Chhor | 031303",7,"កំពង់ចាម | ព្រៃឈរ | ជ្រៃវៀន | ផ្សារព្រេយ តូតុេង | ផ្សារកូរ | ផ្សារមីេន | ផ្សារព្រៃទទឹង"
81,"CHAA003","Kor","Kampong Cham","កំពង់ចាម","Prey Chhor","ព្រៃឈរ","Kor","គរ","031305","12.11317","105.21706",4,"CHAA003 | Kor | Prey Chhor | 031305",9,"កំពង់ចាម | ព្រៃឈរ | គរ | ផ្សារនាកតា សតេង | ផ្សារព្រេយ តូតុេង | ផ្សារកូរ | ផ្សារមីេន | ផ្សារវាត ថមី | ផ្សារព្រៃទទឹង"
